MAKE,MODEL,PROFIT_LOSS,SALES_STATUS
Jeep,Wrangler,-1450,Loss
Ford,Focus,-1450,Loss
Dodge,Charger,-1450,Loss
Honda,Civic,-1450,Loss
Lexus,SC 430,-1450,Loss
Chrysler,200,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Mazda,Mazda3,-1450,Loss
BMW,3 Series,-1450,Loss
,,-1450,Loss
Ford,Focus,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Kia,Rio,-1450,Loss
Jeep,Grand Cherokee,-1450,Loss
Hyundai,Sonata,-1450,Loss
Scion,xD,-1450,Loss
Honda,Accord,-1450,Loss
,,-1450,Loss
Ford,Mustang,-1450,Loss
Nissan,Altima,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Mercedes-Benz,M-Class,-1450,Loss
,,-1450,Loss
Ford,F-150,-1450,Loss
Kia,Sorento,-1450,Loss
Toyota,Prius c,-1450,Loss
Ford,Escape,-1450,Loss
GMC,Terrain,-1450,Loss
Hyundai,Sonata,-1450,Loss
Jeep,Liberty,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Hyundai,Sonata,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Audi,A6,-1450,Loss
Dodge,Ram Pickup 1500,-1450,Loss
MINI,Cooper,-1450,Loss
Kia,Sorento,-1450,Loss
Lexus,IS 300,-1450,Loss
Nissan,Armada,-1450,Loss
Nissan,Rogue,-1450,Loss
Buick,Enclave,-1450,Loss
BMW,X3,-1450,Loss
Chevrolet,Cobalt,-1450,Loss
Honda,Pilot,-1450,Loss
Lexus,RX 350,-1450,Loss
Volkswagen,Passat,-1450,Loss
Lincoln,Town Car,-1450,Loss
Mazda,Mazda3,-1450,Loss
Nissan,Altima,-1450,Loss
Toyota,Camry,-1450,Loss
Acura,TL,-1450,Loss
Jeep,Patriot,-1450,Loss
Chevrolet,Cruze,-1450,Loss
Mazda,Mazda3,-1450,Loss
Ford,F-150,-1450,Loss
Chevrolet,Malibu,-1450,Loss
lexus,lx,-1450,Loss
Kia,Optima,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Chevrolet,Cobalt,-1450,Loss
Toyota,Camry,-1450,Loss
Honda,Odyssey,-1450,Loss
Jeep,Wrangler,-1450,Loss
Volkswagen,Jetta,-1450,Loss
BMW,X5,-1450,Loss
Buick,Enclave,-1450,Loss
GMC,Terrain,-1450,Loss
Jeep,Commander,-1450,Loss
Volkswagen,GTI,-1450,Loss
Land Rover,Range Rover Sport,-1450,Loss
Toyota,Corolla,-1450,Loss
Ford,Edge,-1450,Loss
Chevrolet,Impala,-1450,Loss
Chrysler,300,-1450,Loss
BMW,X3,-1450,Loss
Ford,Focus,-1450,Loss
Nissan,Rogue,-1450,Loss
Toyota,Camry,-1450,Loss
Ford,F-150,-1450,Loss
BMW,X5,-1450,Loss
Mazda,Mazda3,-1450,Loss
Ford,F-250 Super Duty,-1450,Loss
Toyota,Corolla,-1450,Loss
Toyota,Camry,-1450,Loss
Chevrolet,Tahoe,-1450,Loss
Ford,F-150,-1450,Loss
Chevrolet,Cobalt,-1450,Loss
Jeep,Patriot,-1450,Loss
Buick,Regal,-1450,Loss
Mercedes-Benz,M-Class,-1450,Loss
Lexus,LS 460,-1450,Loss
Dodge,Avenger,-1450,Loss
Cadillac,CTS,-1450,Loss
Infiniti,G35,-1450,Loss
Nissan,Sentra,-1450,Loss
,,-1450,Loss
Lincoln,MKZ Hybrid,-1450,Loss
Chevrolet,Equinox,-1450,Loss
BMW,3 Series,-1450,Loss
BMW,5 Series,-1450,Loss
Nissan,Altima,-1450,Loss
Mazda,CX-7,-1450,Loss
Chevrolet,Colorado,-1450,Loss
BMW,3 Series,-1450,Loss
Dodge,Avenger,-1450,Loss
Kia,Soul,-1450,Loss
Acura,TSX,-1450,Loss
Cadillac,DTS,-1450,Loss
Cadillac,Escalade,-1450,Loss
Kia,Sportage,-1450,Loss
Nissan,Altima,-1450,Loss
,,-1450,Loss
Mazda,Mazda6,-1450,Loss
Ford,F-350 Super Duty,-1450,Loss
Toyota,Camry,-1450,Loss
Honda,Accord,-1450,Loss
Ford,Thunderbird,-1450,Loss
Nissan,Sentra,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Chrysler,200,-1450,Loss
Chevrolet,TrailBlazer,-1450,Loss
Honda,Accord,-1450,Loss
Jeep,Liberty,-1450,Loss
Audi,Q7,-1450,Loss
Ford,F-150,-1450,Loss
Chevrolet,Cobalt,-1450,Loss
Lexus,LS 430,-1450,Loss
Chevrolet,Tracker,-1450,Loss
Dodge,Charger,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Buick,Enclave,-1450,Loss
Buick,LaCrosse,-1450,Loss
Mercedes-Benz,M-Class,-1450,Loss
,,-1450,Loss
Toyota,Yaris,-1450,Loss
Chevrolet,Sonic,-1450,Loss
Toyota,Camry,-1450,Loss
Hyundai,Sonata,-1450,Loss
Ram,1500,-1450,Loss
Volvo,S60,-1450,Loss
Lincoln,MKZ,-1450,Loss
Hyundai,Tucson,-1450,Loss
Scion,tC,-1450,Loss
Volkswagen,R32,-1450,Loss
chevrolet,malibu,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Volkswagen,Beetle,-1450,Loss
Buick,LaCrosse,-1450,Loss
Jaguar,XJ-Series,-1450,Loss
Toyota,RAV4,-1450,Loss
Jeep,Grand Cherokee,-1450,Loss
Dodge,Charger,-1450,Loss
Scion,tC,-1450,Loss
Audi,Q5,-1450,Loss
Honda,Accord,-1450,Loss
Kia,Soul,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
HUMMER,H3,-1450,Loss
Kia,Soul,-1450,Loss
Kia,Optima,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Mazda,CX-9,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Honda,Accord,-1450,Loss
Nissan,Quest,-1450,Loss
Lincoln,MKX,-1450,Loss
Ford,Escape,-1450,Loss
Infiniti,FX35,-1450,Loss
Mercury,Mariner,-1450,Loss
Lexus,LS 460,-1450,Loss
Honda,CR-V,-1450,Loss
Cadillac,Escalade ESV,-1450,Loss
Mercedes-Benz,S-Class,-1450,Loss
Lexus,ES 350,-1450,Loss
Ford,Focus,-1450,Loss
Toyota,Camry,-1450,Loss
Hyundai,Elantra Touring,-1450,Loss
Scion,xB,-1450,Loss
Dodge,Challenger,-1450,Loss
Ford,Escape,-1450,Loss
Chevrolet,Equinox,-1450,Loss
cadillac,srx,-1450,Loss
MINI,Cooper,-1450,Loss
Chrysler,300,-1450,Loss
Infiniti,M,-1450,Loss
Toyota,Camry,-1450,Loss
Chevrolet,Uplander,-1450,Loss
Pontiac,G5,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Infiniti,QX56,-1450,Loss
Nissan,Altima,-1450,Loss
Chevrolet,Impala,-1450,Loss
Hyundai,Sonata,-1450,Loss
Mazda,Mazda3,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Ford,Fusion,-1450,Loss
Ford,Mustang,-1450,Loss
,,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
Chevrolet,Captiva Sport,-1450,Loss
Ford,C-Max Hybrid,-1450,Loss
Ford,Fusion Hybrid,-1450,Loss
Lexus,RX 350,-1450,Loss
Nissan,Altima,-1450,Loss
Ram,1500,-1450,Loss
Ford,Focus,-1450,Loss
Toyota,Prius,-1450,Loss
Dodge,Magnum,-1450,Loss
BMW,3 Series,-1450,Loss
Saturn,Outlook,-1450,Loss
Toyota,4Runner,-1450,Loss
Chevrolet,Tahoe,-1450,Loss
BMW,X5,-1450,Loss
Chrysler,Town and Country,-1450,Loss
Ford,Focus,-1450,Loss
Ford,Escape,-1450,Loss
Nissan,Maxima,-1450,Loss
Chevrolet,Express Cargo,-1450,Loss
Nissan,Versa,-1450,Loss
Lexus,IS 350,-1450,Loss
Honda,Pilot,-1450,Loss
Buick,LaCrosse,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Toyota,Camry,-1450,Loss
Lexus,GS 300,-1450,Loss
Hyundai,Sonata,-1450,Loss
Toyota,4Runner,-1450,Loss
Jeep,Patriot,-1450,Loss
BMW,7 Series,-1450,Loss
Ford,Focus,-1450,Loss
land rover,range,-1450,Loss
Ford,Fusion,-1450,Loss
Honda,Accord,-1450,Loss
Jeep,Wrangler,-1450,Loss
Ford,Edge,-1450,Loss
Kia,Optima,-1450,Loss
Infiniti,M45,-1450,Loss
Toyota,Tacoma,-1450,Loss
Dodge,Durango,-1450,Loss
BMW,3 Series,-1450,Loss
Toyota,Corolla,-1450,Loss
BMW,3 Series,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Mercedes-Benz,SLK-Class,-1450,Loss
Dodge,Challenger,-1450,Loss
Chevrolet,Malibu,-1450,Loss
GMC,Sierra 1500,-1450,Loss
Nissan,Frontier,-1450,Loss
Ford,Focus,-1450,Loss
Infiniti,G35,-1450,Loss
Infiniti,FX35,-1450,Loss
Scion,FR-S,-1450,Loss
Toyota,Sequoia,-1450,Loss
Pontiac,G6,-1450,Loss
Nissan,Maxima,-1450,Loss
Jeep,Grand Cherokee,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Toyota,Prius,-1450,Loss
Honda,Odyssey,-1450,Loss
Pontiac,Torrent,-1450,Loss
Mercedes-Benz,S-Class,-1450,Loss
Honda,Odyssey,-1450,Loss
Kia,Optima,-1450,Loss
Hyundai,Sonata,-1450,Loss
Honda,Accord,-1450,Loss
Acura,TL,-1450,Loss
Chevrolet,Silverado 2500HD,-1450,Loss
Dodge,Journey,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Volkswagen,GTI,-1450,Loss
Infiniti,G Sedan,-1450,Loss
GMC,Yukon XL,-1450,Loss
Hyundai,Accent,-1450,Loss
Chevrolet,Equinox,-1450,Loss
Infiniti,QX80,-1450,Loss
Ram,2500,-1450,Loss
Mazda,3,-1450,Loss
,,-1450,Loss
Honda,CR-V,-1450,Loss
BMW,5 Series,-1450,Loss
Jeep,Wrangler,-1450,Loss
Toyota,Avalon,-1450,Loss
Chevrolet,HHR,-1450,Loss
BMW,3 Series,-1450,Loss
Ford,Escape,-1450,Loss
Toyota,Sequoia,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Nissan,Sentra,-1450,Loss
Cadillac,Escalade,-1450,Loss
Mercury,Milan,-1450,Loss
Toyota,Camry,-1450,Loss
GMC,Envoy,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Hyundai,Sonata,-1450,Loss
Volvo,S60,-1450,Loss
Ford,Taurus,-1450,Loss
Chevrolet,Volt,-1450,Loss
Dodge,Avenger,-1450,Loss
Pontiac,G6,-1450,Loss
Hyundai,Sonata,-1450,Loss
Nissan,Rogue,-1450,Loss
Jeep,Grand Cherokee,-1450,Loss
Honda,Civic,-1450,Loss
Kia,Sorento,-1450,Loss
BMW,4 Series,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Hyundai,Elantra,-1450,Loss
Jeep,Compass,-1450,Loss
Ford,E-Series Van,-1450,Loss
Dodge,Charger,-1450,Loss
Ford,F-150,-1450,Loss
Kia,Rondo,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
BMW,3 Series,-1450,Loss
BMW,5 Series,-1450,Loss
Honda,Accord,-1450,Loss
Jeep,Liberty,-1450,Loss
Hyundai,Sonata,-1450,Loss
MINI,Cooper Clubman,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Lincoln,Zephyr,-1450,Loss
Chevrolet,Sonic,-1450,Loss
Ford,F-150,-1450,Loss
Honda,Civic,-1450,Loss
Toyota,Prius,-1450,Loss
GMC,Yukon XL,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
GMC,Yukon XL,-1450,Loss
Honda,CR-V,-1450,Loss
Kia,Optima,-1450,Loss
Audi,Q7,-1450,Loss
Mercedes-Benz,S-Class,-1450,Loss
Chevrolet,Equinox,-1450,Loss
BMW,3 Series,-1450,Loss
Ford,Fusion Hybrid,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Dodge,Nitro,-1450,Loss
,,-1450,Loss
Dodge,Ram Pickup 1500,-1450,Loss
GMC,Acadia,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
Ford,F-150,-1450,Loss
Ford,Escape,-1450,Loss
Audi,A5,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Chevrolet,Impala,-1450,Loss
Toyota,Camry,-1450,Loss
Chrysler,300,-1450,Loss
Dodge,Charger,-1450,Loss
Kia,Soul,-1450,Loss
BMW,X3,-1450,Loss
Ford,Edge,-1450,Loss
GMC,Terrain,-1450,Loss
Nissan,Leaf,-1450,Loss
Ford,Mustang,-1450,Loss
Nissan,Frontier,-1450,Loss
Mazda,CX-9,-1450,Loss
BMW,5 Series,-1450,Loss
Cadillac,DeVille,-1450,Loss
BMW,3 Series,-1450,Loss
Nissan,Altima,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Honda,Accord,-1450,Loss
Chevrolet,Avalanche,-1450,Loss
Ford,Escape,-1450,Loss
Saturn,ION,-1450,Loss
Chevrolet,Tahoe,-1450,Loss
Ford,Explorer,-1450,Loss
Toyota,Yaris,-1450,Loss
Chrysler,Town and Country,-1450,Loss
Hyundai,Genesis,-1450,Loss
Dodge,Avenger,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Toyota,Sienna,-1450,Loss
Ford,Fusion Hybrid,-1450,Loss
Volvo,XC90,-1450,Loss
Jaguar,XJ-Series,-1450,Loss
Jeep,Compass,-1450,Loss
Lincoln,MKZ,-1450,Loss
Ford,F-150,-1450,Loss
Honda,Accord,-1450,Loss
Volkswagen,CC,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Ford,Focus,-1450,Loss
Ford,F-150,-1450,Loss
Lexus,GX 460,-1450,Loss
Honda,CR-V,-1450,Loss
Ford,Taurus,-1450,Loss
Mercedes-Benz,GL-Class,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Ford,Mustang,-1450,Loss
Cadillac,CTS,-1450,Loss
Ford,Fusion,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Volkswagen,CC,-1450,Loss
Nissan,Altima,-1450,Loss
Toyota,Tundra,-1450,Loss
Kia,Soul,-1450,Loss
,,-1450,Loss
Toyota,Camry,-1450,Loss
Hyundai,Genesis Coupe,-1450,Loss
Toyota,Tacoma,-1450,Loss
Ford,Explorer,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
Ford,Escape,-1450,Loss
Mitsubishi,Lancer,-1450,Loss
Hyundai,Sonata,-1450,Loss
Chevrolet,Colorado,-1450,Loss
Dodge,Dart,-1450,Loss
Infiniti,M,-1450,Loss
Chevrolet,Cruze,-1450,Loss
Chevrolet,HHR,-1450,Loss
Hyundai,Elantra,-1450,Loss
Nissan,Altima,-1450,Loss
Mazda,Mazda5,-1450,Loss
Hyundai,Elantra,-1450,Loss
Hyundai,Elantra,-1450,Loss
Nissan,Altima,-1450,Loss
Buick,Enclave,-1450,Loss
Chevrolet,Avalanche,-1450,Loss
Ford,F-150,-1450,Loss
GMC,Envoy,-1450,Loss
Chrysler,200,-1450,Loss
Hyundai,Sonata,-1450,Loss
Toyota,Corolla,-1450,Loss
Cadillac,Escalade,-1450,Loss
Honda,Civic,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
BMW,3 Series,-1450,Loss
Nissan,Cube,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Kia,Optima,-1450,Loss
Honda,Odyssey,-1450,Loss
Nissan,Rogue,-1450,Loss
Cadillac,CTS,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Volkswagen,Beetle Convertible,-1450,Loss
Honda,Odyssey,-1450,Loss
Buick,Rainier,-1450,Loss
Toyota,Camry,-1450,Loss
Volkswagen,Passat,-1450,Loss
Ford,Transit Connect,-1450,Loss
Nissan,Altima Hybrid,-1450,Loss
GMC,Acadia,-1450,Loss
Mitsubishi,Outlander,-1450,Loss
Lincoln,LS,-1450,Loss
Ford,Focus,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Nissan,Murano,-1450,Loss
Chrysler,200,-1450,Loss
,,-1450,Loss
Ford,Explorer,-1450,Loss
Hyundai,Elantra GT,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Buick,LeSabre,-1450,Loss
Honda,Accord,-1450,Loss
Ford,Expedition,-1450,Loss
Saturn,ION,-1450,Loss
Mercedes-Benz,R-Class,-1450,Loss
Volkswagen,Passat,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Mazda,Mazda3,-1450,Loss
Infiniti,G Coupe,-1450,Loss
Honda,Pilot,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Jeep,Cherokee,-1450,Loss
BMW,X5,-1450,Loss
Ford,Escape,-1450,Loss
Acura,MDX,-1450,Loss
Acura,ILX,-1450,Loss
Volkswagen,CC,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Hyundai,Sonata,-1450,Loss
Lexus,ES 300,-1450,Loss
,,-1450,Loss
Mercedes-Benz,CLK-Class,-1450,Loss
Chrysler,Town and Country,-1450,Loss
Toyota,Corolla,-1450,Loss
Toyota,Camry,-1450,Loss
Ford,F-150,-1450,Loss
Toyota,FJ Cruiser,-1450,Loss
Kia,Forte,-1450,Loss
Volkswagen,Jetta SportWagen,-1450,Loss
BMW,5 Series,-1450,Loss
Infiniti,G Sedan,-1450,Loss
Kia,Sorento,-1450,Loss
Chevrolet,Cobalt,-1450,Loss
Chevrolet,Silverado 2500HD,-1450,Loss
Chevrolet,Avalanche,-1450,Loss
Dodge,Ram Pickup 1500,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
Nissan,Xterra,-1450,Loss
Honda,Odyssey,-1450,Loss
Honda,Odyssey,-1450,Loss
Honda,Accord,-1450,Loss
Subaru,Outback,-1450,Loss
BMW,3 Series,-1450,Loss
Hyundai,Tucson,-1450,Loss
Ford,Escape,-1450,Loss
GMC,Yukon XL,-1450,Loss
Saturn,Aura,-1450,Loss
Nissan,Rogue,-1450,Loss
Hyundai,Accent,-1450,Loss
Chevrolet,Tahoe,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Chrysler,300,-1450,Loss
Toyota,RAV4,-1450,Loss
Volvo,S60,-1450,Loss
Mercedes-Benz,S-Class,-1450,Loss
Ford,F-150,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Toyota,Sienna,-1450,Loss
Infiniti,G35,-1450,Loss
BMW,X5,-1450,Loss
Toyota,Camry Solara,-1450,Loss
Nissan,Juke,-1450,Loss
Nissan,Pathfinder,-1450,Loss
Toyota,Corolla,-1450,Loss
Honda,Accord,-1450,Loss
Mercury,Mariner,-1450,Loss
Chrysler,200,-1450,Loss
GMC,Sierra 1500,-1450,Loss
Volkswagen,Passat,-1450,Loss
Honda,CR-V,-1450,Loss
Honda,CR-V,-1450,Loss
Honda,Accord,-1450,Loss
Cadillac,Escalade,-1450,Loss
Ford,F-150,-1450,Loss
Chrysler,200,-1450,Loss
Audi,A7,-1450,Loss
Toyota,Corolla,-1450,Loss
Honda,Ridgeline,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Buick,Enclave,-1450,Loss
Acura,TL,-1450,Loss
Honda,Odyssey,-1450,Loss
Ford,Edge,-1450,Loss
Porsche,Cayenne,-1450,Loss
BMW,X5,-1450,Loss
Lincoln,MKZ,-1450,Loss
GMC,Terrain,-1450,Loss
Subaru,Legacy,-1450,Loss
Ford,Focus,-1450,Loss
Mercedes-Benz,CLS-Class,-1450,Loss
Ford,Fusion,-1450,Loss
Ford,Escape,-1450,Loss
Ford,Mustang,-1450,Loss
Honda,Civic,-1450,Loss
BMW,3 Series,-1450,Loss
Dodge,Journey,-1450,Loss
Chevrolet,Cruze,-1450,Loss
MINI,Cooper,-1450,Loss
Nissan,Maxima,-1450,Loss
Audi,A4,-1450,Loss
Chevrolet,Equinox,-1450,Loss
Subaru,Impreza,-1450,Loss
Toyota,Sequoia,-1450,Loss
Chevrolet,Impala,-1450,Loss
Nissan,Sentra,-1450,Loss
Nissan,Sentra,-1450,Loss
Toyota,RAV4,-1450,Loss
Nissan,Rogue,-1450,Loss
Ford,Edge,-1450,Loss
Mercury,Mariner,-1450,Loss
GMC,Acadia,-1450,Loss
Ford,Econoline Cargo,-1450,Loss
Ford,F-150,-1450,Loss
BMW,5 Series,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Honda,Accord,-1450,Loss
Hyundai,Veloster,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Honda,Civic,-1450,Loss
Dodge,Dart,-1450,Loss
Jeep,Wrangler,-1450,Loss
Nissan,Rogue,-1450,Loss
Lexus,GX 460,-1450,Loss
Toyota,Camry,-1450,Loss
Ford,Focus,-1450,Loss
Cadillac,ATS,-1450,Loss
Ford,Crown Victoria,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Honda,Civic,-1450,Loss
Infiniti,G35,-1450,Loss
Pontiac,Torrent,-1450,Loss
Toyota,Corolla,-1450,Loss
Nissan,Rogue,-1450,Loss
GMC,Acadia,-1450,Loss
Ford,Focus,-1450,Loss
Mercedes-Benz,E-Class,-1450,Loss
Ford,Five Hundred,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Hyundai,Tucson,-1450,Loss
Chevrolet,TrailBlazer EXT,-1450,Loss
Chrysler,200,-1450,Loss
Honda,Accord,-1450,Loss
Chevrolet,Captiva Sport,-1450,Loss
Honda,Civic,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Dodge,Journey,-1450,Loss
BMW,3 Series,-1450,Loss
Toyota,Corolla,-1450,Loss
Nissan,Maxima,-1450,Loss
Ford,F-150,-1450,Loss
Ram,1500,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Honda,Civic,-1450,Loss
Toyota,Sienna,-1450,Loss
Nissan,Quest,-1450,Loss
Mazda,Mazda3,-1450,Loss
Ford,Mustang,-1450,Loss
Hyundai,Elantra GT,-1450,Loss
BMW,3 Series,-1450,Loss
Acura,TSX,-1450,Loss
Ford,F-150,-1450,Loss
Mercedes-Benz,GLK-Class,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Nissan,Altima,-1450,Loss
Chrysler,200,-1450,Loss
Volkswagen,Passat,-1450,Loss
Hyundai,Santa Fe,-1450,Loss
Mazda,Mazda5,-1450,Loss
Infiniti,FX,-1450,Loss
Jeep,Wrangler,-1450,Loss
Dodge,Charger,-1450,Loss
Hyundai,Elantra,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Ford,Escape,-1450,Loss
Nissan,Maxima,-1450,Loss
Mercedes-Benz,M-Class,-1450,Loss
Ford,Fusion,-1450,Loss
Toyota,Highlander,-1450,Loss
Nissan,Quest,-1450,Loss
Ford,F-250 Super Duty,-1450,Loss
Mitsubishi,Outlander,-1450,Loss
Infiniti,G Sedan,-1450,Loss
Infiniti,G Sedan,-1450,Loss
Nissan,Maxima,-1450,Loss
Mercedes-Benz,GLK-Class,-1450,Loss
Nissan,Maxima,-1450,Loss
Infiniti,Q50,-1450,Loss
Chevrolet,Suburban,-1450,Loss
Honda,Civic,-1450,Loss
Kia,Sedona,-1450,Loss
Ford,Escape,-1450,Loss
Lexus,CT 200h,-1450,Loss
Dodge,Challenger,-1450,Loss
Honda,Insight,-1450,Loss
Ford,F-150,-1450,Loss
Buick,Lucerne,-1450,Loss
Ford,Explorer,-1450,Loss
Chevrolet,Corvette,-1450,Loss
Ford,Edge,-1450,Loss
Volkswagen,Passat,-1450,Loss
Lexus,ES 350,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Ford,Escape,-1450,Loss
Chevrolet,TrailBlazer,-1450,Loss
Ford,Taurus,-1450,Loss
Toyota,Corolla,-1450,Loss
Chevrolet,Impala,-1450,Loss
Ford,Ranger,-1450,Loss
Chevrolet,Traverse,-1450,Loss
Mercedes-Benz,S-Class,-1450,Loss
Ford,Fusion,-1450,Loss
Ford,Escape,-1450,Loss
Ford,Fusion,-1450,Loss
Jeep,Compass,-1450,Loss
Honda,Civic,-1450,Loss
Chrysler,Town and Country,-1450,Loss
Ford,Fusion,-1450,Loss
Nissan,Versa Note,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Chevrolet,Aveo,-1450,Loss
Lincoln,Zephyr,-1450,Loss
Acura,TL,-1450,Loss
Ford,Fusion,-1450,Loss
Honda,Civic,-1450,Loss
Ford,E-Series Wagon,-1450,Loss
Ford,Escape,-1450,Loss
Toyota,Camry,-1450,Loss
Infiniti,G Sedan,-1450,Loss
Nissan,Altima,-1450,Loss
Ford,Fusion,-1450,Loss
Ford,C-Max Energi,-1450,Loss
Ford,Econoline Wagon,-1450,Loss
Chrysler,Sebring,-1450,Loss
Chevrolet,Silverado 1500,-1450,Loss
Lincoln,Navigator,-1450,Loss
Chevrolet,Malibu,-1450,Loss
Infiniti,G Sedan,-1450,Loss
Nissan,Maxima,-1450,Loss
Kia,Forte,-1450,Loss
Lincoln,MKS,-1450,Loss
Toyota,Highlander,-1450,Loss
Nissan,Sentra,-1450,Loss
Nissan,Altima,-1450,Loss
Honda,Pilot,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
Chrysler,300,-1450,Loss
Ford,Focus,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Chevrolet,Cruze,-1450,Loss
Dodge,Grand Caravan,-1450,Loss
BMW,3 Series,-1450,Loss
BMW,3 Series,-1450,Loss
Nissan,Altima,-1450,Loss
Ford,F-150,-1450,Loss
Dodge,Ram Pickup 1500,-1450,Loss
BMW,X3,-1450,Loss
Toyota,Corolla,-1450,Loss
Nissan,Altima,-1450,Loss
Nissan,Maxima,-1450,Loss
Dodge,Dart,-1450,Loss
MINI,Cooper Countryman,-1450,Loss
Toyota,Yaris,-1450,Loss
Ford,F-150,-1450,Loss
Hyundai,Sonata,-1450,Loss
Ford,Mustang,-1450,Loss
Honda,Accord,-1450,Loss
Ford,F-350 Super Duty,-1450,Loss
Hyundai,Elantra,-1450,Loss
Hyundai,Elantra,-1450,Loss
Buick,Century,-1450,Loss
BMW,3 Series,-1450,Loss
Toyota,RAV4,-1450,Loss
Jeep,Commander,-1450,Loss
,,-1450,Loss
Nissan,Sentra,-1450,Loss
Ford,Ranger,-1450,Loss
Chevrolet,Malibu Maxx,-1450,Loss
BMW,X5,-1450,Loss
Mercedes-Benz,C-Class,-1450,Loss
Ford,Fiesta,-1450,Loss
GMC,Yukon,-1450,Loss
Jeep,Wrangler,-1450,Loss
Ford,Escape,-1450,Loss
Ford,E-Series Wagon,-1450,Loss
Ford,Expedition,-1450,Loss
Chevrolet,Impala,-1450,Loss
Volkswagen,GTI,-1450,Loss
Chrysler,Town and Country,-1450,Loss
Nissan,Pathfinder,-1450,Loss
Toyota,Camry,-1450,Loss
Toyota,Corolla,-1450,Loss
Ford,Fusion,-1450,Loss
Nissan,Rogue,-1450,Loss
Ford,Focus,-1450,Loss
Chevrolet,Silverado 3500HD,-1450,Loss
BMW,3 Series,-1450,Loss
Nissan,Rogue,-1450,Loss
Volkswagen,Jetta,-1450,Loss
Nissan,Versa,-1450,Loss
Chevrolet,TrailBlazer,-1450,Loss
Ford,Fiesta,-1450,Loss
Chevrolet,Impala,-1450,Loss
Nissan,Altima,-1450,Loss
Jeep,Compass,-1450,Loss
Kia,Sorento,-1450,Loss
Mercedes-Benz,GLK-Class,-1450,Loss
Dodge,Challenger,-1450,Loss
Ford,Explorer,-1450,Loss
GMC,Acadia,-1450,Loss
Buick,Regal,-1450,Loss
