MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,MDX,1,55275
Acura,MDX,1,60425
Acura,MDX,1,105250
Acura,MDX,1,144400
Acura,MDX,1,332525
Acura,MDX,8,3977600
Acura,MDX,418,4193500
Acura,MDX,917,4380700
Acura,MDX,1453,4119100
Acura,MDX,1734,4380900
Acura,MDX,3050,3844800
Acura,MDX,3819,4209500
Acura,MDX,3988,4780500
Acura,MDX,4073,4108200
Acura,MDX,4287,3775100
Acura,MDX,4732,3975250
Acura,MDX,5550,3397000
Acura,MDX,5943,3874250
Acura,MDX,6094,3358800
Acura,MDX,6399,4149600
Acura,MDX,7079,4098800
Acura,MDX,7434,4075650
Acura,MDX,7595,3532700
Acura,MDX,8033,3021600
Acura,MDX,8131,4159500
Acura,MDX,8577,4325550
Acura,MDX,8887,4099800
Acura,MDX,8906,3715000
Acura,MDX,8995,3021100
Acura,MDX,9533,4701000
Acura,MDX,10049,4040100
Acura,MDX,10158,4210000
Acura,MDX,10177,4174150
Acura,MDX,10185,4109200
Acura,MDX,10729,3519500
Acura,MDX,10788,3600200
Acura,MDX,11350,3800300
Acura,MDX,11554,3880850
Acura,MDX,11719,4174850
Acura,MDX,11754,3240100
Acura,MDX,11799,4200200
Acura,MDX,11994,4100100
Acura,MDX,12102,4176150
Acura,MDX,12557,4153000
Acura,MDX,12628,2734500
Acura,MDX,12820,3239500
Acura,MDX,12822,4124650
Acura,MDX,12848,3821550
Acura,MDX,12853,3451700
Acura,MDX,13115,3629400
Acura,MDX,13194,4151400
Acura,MDX,13227,3698700
Acura,MDX,13642,3547300
Acura,MDX,13672,4303900
Acura,MDX,14043,4049300
Acura,MDX,14226,4651300
Acura,MDX,14248,3949200
Acura,MDX,14430,3249900
Acura,MDX,14646,3524650
Acura,MDX,14854,4276450
Acura,MDX,14880,3750400
Acura,MDX,15385,2514500
Acura,MDX,15472,3800300
Acura,MDX,15565,3439200
Acura,MDX,16128,4150200
Acura,MDX,16168,3659100
Acura,MDX,16506,2739100
Acura,MDX,16697,3603200
Acura,MDX,16797,4141400
Acura,MDX,16860,3514900
Acura,MDX,16884,3584700
Acura,MDX,17306,3949800
Acura,MDX,17353,2900800
Acura,MDX,17355,3096600
Acura,MDX,17615,3652300
